"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell453",10779,17287,20438,1310,14383,1304,"Batch1"
"Cell454",10011,22406,30281,1491,17530,1521,"Batch1"
"Cell455",10948,15308,21909,1732,21489,1810,"Batch1"
"Cell456",7215,11404,14124,986,10995,909,"Batch1"
"Cell457",10099,12006,18175,1362,11711,1394,"Batch1"
"Cell458",8600,19742,23818,1166,13965,1150,"Batch1"
"Cell459",9161,15092,22915,1618,13264,1417,"Batch1"
"Cell460",5390,10956,11545,989,10679,792,"Batch1"
"Cell461",8064,14125,20454,1466,18392,1582,"Batch1"
"Cell462",6290,12085,14815,833,12685,1046,"Batch1"
"Cell463",9866,15401,18160,1319,14756,1680,"Batch1"
"Cell464",6997,12858,19943,1058,11352,1164,"Batch1"
"Cell465",5873,9459,13562,1287,10616,818,"Batch1"
"Cell466",7611,10227,12011,1016,10592,1064,"Batch1"
"Cell467",9900,17457,16122,1418,17372,1572,"Batch1"
"Cell468",7082,14829,16879,1139,13799,1130,"Batch1"
"Cell469",5531,8471,15267,859,8932,854,"Batch1"
"Cell470",9125,17117,22842,1430,17284,1605,"Batch1"
"Cell471",7599,11314,15646,983,10941,1063,"Batch1"
"Cell472",9345,18412,21055,1350,13995,1446,"Batch1"
"Cell473",8418,13823,21091,1467,11873,995,"Batch1"
"Cell474",7585,12704,14247,1124,13828,1088,"Batch1"
"Cell475",8466,12676,23147,1255,13492,1607,"Batch1"
"Cell476",5664,9411,11963,787,8576,758,"Batch1"
"Cell477",4957,10009,10741,854,8733,824,"Batch1"
"Cell478",7480,10808,15966,1097,10397,1238,"Batch1"
"Cell479",10282,16977,22697,1847,19147,1599,"Batch1"
"Cell480",9088,12635,18370,1633,12421,1561,"Batch1"
"Cell481",15767,22882,26416,2132,20192,2177,"Batch1"
"Cell482",5740,12439,18752,1264,12611,999,"Batch1"
"Cell483",5472,7450,14508,809,9837,928,"Batch1"
"Cell484",12820,22187,29378,1775,21669,1767,"Batch1"
"Cell485",7702,12002,20268,1233,14474,1518,"Batch1"
"Cell486",7751,11182,15479,1241,11202,1262,"Batch1"
"Cell487",6500,10622,14505,1252,10251,1265,"Batch1"
"Cell488",10170,16288,27123,2092,18580,2227,"Batch1"
"Cell489",7761,17073,22079,1471,15555,1325,"Batch1"
"Cell490",8743,16005,24967,1502,16666,1364,"Batch1"
"Cell491",5595,10947,12896,1047,10687,667,"Batch1"
"Cell492",9016,13662,14869,1169,11997,937,"Batch1"
"Cell493",8065,12635,19790,962,12123,1132,"Batch1"
"Cell494",7208,13309,18035,1562,10159,1173,"Batch1"
"Cell495",12005,16917,28433,1446,17710,2012,"Batch1"
"Cell496",9061,17804,31125,1315,19004,1309,"Batch1"
"Cell497",9200,13577,19269,1268,13468,1105,"Batch1"
"Cell498",9143,11732,16097,1320,13297,1522,"Batch1"
"Cell499",6819,14142,20261,1232,11303,1373,"Batch1"
"Cell500",6355,12763,16666,1113,10665,891,"Batch1"
"Cell501",9151,15112,19907,1555,16384,1423,"Batch1"
"Cell502",10519,15077,17671,1475,14271,1448,"Batch1"
"Cell503",11508,20092,25047,1622,19650,1417,"Batch1"
"Cell504",10759,20844,26391,1551,21124,1611,"Batch1"
"Cell505",16369,28520,30518,2330,29268,2287,"Batch1"
"Cell506",6992,14579,18221,1113,10864,972,"Batch1"
"Cell507",6837,11788,14968,1151,11793,1548,"Batch1"
"Cell508",6150,10683,16197,1129,11710,977,"Batch1"
"Cell509",5907,11598,14036,1144,11323,879,"Batch1"
"Cell510",8825,16846,21320,1413,15559,1311,"Batch1"
"Cell511",8998,16825,18943,1598,13554,1582,"Batch1"
"Cell512",7827,13843,16222,1536,11398,1106,"Batch1"
"Cell513",9913,20474,25119,1855,23170,1821,"Batch1"
"Cell514",8864,18212,21839,1565,15229,1190,"Batch1"
"Cell515",7922,11202,14931,1255,12006,1389,"Batch1"
"Cell516",9481,16604,25211,1361,17227,1695,"Batch1"
"Cell517",7730,10748,17113,1231,11258,880,"Batch1"
"Cell518",6847,12220,16870,1402,11630,1185,"Batch1"
"Cell519",10038,14862,22563,1238,13256,1302,"Batch1"
"Cell520",7185,10975,19090,1142,13594,903,"Batch1"
"Cell521",8945,15945,18445,1406,15058,1330,"Batch1"
"Cell522",14017,22391,28057,2512,21907,2338,"Batch1"
"Cell523",6583,11717,14023,1124,10189,941,"Batch1"
"Cell524",7832,13915,17490,1848,14972,2109,"Batch1"
"Cell525",11219,11687,16158,1296,16963,1847,"Batch1"
"Cell526",12429,15411,30172,1729,22765,1969,"Batch1"
"Cell527",7182,13694,20479,924,13270,1368,"Batch1"
"Cell528",11591,17750,21782,1818,15700,1209,"Batch1"
"Cell529",7620,11994,15305,992,8852,1424,"Batch1"
"Cell530",11656,16234,20863,1674,18031,1882,"Batch1"
"Cell531",5748,14041,19098,959,15060,847,"Batch1"
"Cell532",6655,17014,18132,1927,16030,1374,"Batch1"
"Cell533",9873,12791,19847,1479,18798,1438,"Batch1"
"Cell534",10422,16909,22635,1601,19578,1517,"Batch1"
"Cell535",11631,18782,24757,1893,14983,2064,"Batch1"
"Cell536",7838,13973,16025,1372,13854,1309,"Batch1"
"Cell537",11403,13877,15660,1352,15284,947,"Batch1"
"Cell538",5985,13692,13593,1289,12889,892,"Batch1"
"Cell539",5792,11296,18920,928,10881,1068,"Batch1"
"Cell540",10972,15154,23023,1887,17944,1634,"Batch1"
"Cell541",6127,10612,14592,1039,9708,832,"Batch1"
"Cell542",10365,16044,18827,1333,14880,1321,"Batch1"
"Cell543",7757,9680,16636,1221,13244,1214,"Batch1"
"Cell544",7541,12305,18410,1341,10821,1338,"Batch1"
"Cell545",9536,22748,24183,1970,17255,1545,"Batch1"
"Cell546",8823,14817,19186,1378,15575,1061,"Batch1"
"Cell547",7568,16928,16609,1272,13908,1242,"Batch1"
"Cell548",12680,19100,28954,1360,17306,1955,"Batch1"
"Cell549",5699,10973,13216,679,11008,808,"Batch1"
"Cell550",10334,16858,24956,2000,16548,1855,"Batch1"
"Cell551",10930,16622,19506,1612,12389,1807,"Batch1"
"Cell552",7242,14839,13396,1259,14575,773,"Batch1"
"Cell553",10914,18473,23216,1839,13592,1640,"Batch1"
"Cell554",9981,16472,24872,1520,17634,1484,"Batch1"
"Cell555",11426,21323,26588,1896,19173,1859,"Batch1"
"Cell556",9244,12510,19846,1455,16446,1690,"Batch1"
"Cell557",8629,15844,17494,1327,13379,1480,"Batch1"
"Cell558",11284,15674,29240,1836,17825,1380,"Batch1"
"Cell559",8017,12165,14480,889,11552,1260,"Batch1"
"Cell560",8748,15651,16469,1526,15346,1602,"Batch1"
"Cell561",8308,12534,13994,1165,11337,1275,"Batch1"
"Cell562",8873,18042,22818,1272,18890,1833,"Batch1"
"Cell563",13287,19892,21181,1550,22233,1644,"Batch1"
"Cell564",9580,11343,21025,1157,15033,1258,"Batch1"
"Cell565",7737,15683,18944,1324,15313,1459,"Batch1"
"Cell566",7457,11442,13168,1125,13623,1175,"Batch1"
"Cell567",9968,23839,31665,2111,22402,2143,"Batch1"
"Cell568",11011,18756,26530,1683,18784,1984,"Batch1"
"Cell569",6914,14790,17766,1201,10332,1442,"Batch1"
"Cell570",7860,11458,20773,1357,11778,1060,"Batch1"
"Cell571",5474,8801,16753,922,10006,877,"Batch1"
"Cell572",11353,19968,20478,1374,13902,1297,"Batch1"
"Cell573",10445,18851,19011,1698,15429,1370,"Batch1"
"Cell574",7464,15829,19429,2038,13380,1965,"Batch1"
"Cell575",6276,13270,20158,1187,13076,1753,"Batch1"
"Cell576",9003,15166,26458,1695,19786,1636,"Batch1"
"Cell577",9931,17395,23893,1503,17949,1199,"Batch1"
"Cell578",6573,12129,15764,1177,7724,1072,"Batch1"
"Cell579",6422,12707,13229,1228,10794,1156,"Batch1"
"Cell580",9972,15683,27296,1947,16259,1427,"Batch1"
"Cell581",5828,11573,12548,750,8542,804,"Batch1"
"Cell582",7404,11280,15151,1046,16203,1073,"Batch1"
"Cell583",7031,12725,20687,1148,11335,1232,"Batch1"
"Cell584",8149,15444,20174,1571,16037,1519,"Batch1"
"Cell585",8066,12155,17538,1180,13680,1313,"Batch1"
"Cell586",6684,10729,16038,1236,11289,1081,"Batch1"
"Cell587",6505,12050,14513,778,9689,1079,"Batch1"
"Cell588",11708,21230,28308,2255,20413,2275,"Batch1"
"Cell589",8348,15735,21870,1336,13981,1171,"Batch1"
"Cell590",6203,11404,12788,1140,10501,1152,"Batch1"
"Cell591",11981,25211,29255,2040,22316,2067,"Batch1"
"Cell592",5001,11402,13565,886,9717,1125,"Batch1"
"Cell593",6897,11822,16709,1641,13419,831,"Batch1"
"Cell594",8204,12466,16656,1488,13915,1032,"Batch1"
"Cell595",7896,18151,20925,1389,12820,983,"Batch1"
"Cell596",10326,17128,23538,1728,19933,1396,"Batch1"
"Cell597",11276,19265,25786,1735,18673,1618,"Batch1"
"Cell598",7936,11701,21004,1082,15847,1098,"Batch1"
"Cell599",6726,14486,20050,1118,13220,1015,"Batch1"
"Cell600",7609,10615,20107,922,14244,724,"Batch1"
"Cell601",8146,14137,23743,1557,15969,1454,"Batch1"
"Cell602",9685,18033,28094,1955,12965,1680,"Batch1"
"Cell603",12944,19304,28160,1671,21574,2122,"Batch1"
"Cell604",7809,17575,18856,1330,15337,1610,"Batch1"
"Cell605",9312,19405,31224,1636,17527,1800,"Batch1"
"Cell606",5036,9082,11934,1032,9103,802,"Batch1"
"Cell607",11650,23158,23437,1799,18804,1899,"Batch1"
"Cell608",9074,14427,22233,1208,16788,1572,"Batch1"
"Cell609",5943,11624,15156,1050,11976,1032,"Batch1"
"Cell610",8105,14359,18071,1452,18314,1914,"Batch1"
"Cell611",11948,14252,23616,1598,17167,1704,"Batch1"
"Cell612",11055,18033,26897,1910,19122,1788,"Batch1"
"Cell613",8410,14172,14887,1235,10063,1313,"Batch1"
"Cell614",7873,15174,15027,1484,15812,1691,"Batch1"
"Cell615",11420,18249,23366,1517,16408,1466,"Batch1"
"Cell616",8622,16055,16161,1243,13578,1315,"Batch1"
"Cell617",4850,11332,16679,923,10186,833,"Batch1"
"Cell618",8184,15362,17734,1159,12409,1261,"Batch1"
"Cell619",8621,13492,16541,1415,11825,1557,"Batch1"
"Cell620",6993,14504,18520,1152,13515,1211,"Batch1"
"Cell621",8377,15706,22268,1145,16350,1705,"Batch1"
"Cell622",10764,17477,22408,1377,18753,1741,"Batch1"
"Cell623",6542,12489,19724,1427,11286,865,"Batch1"
"Cell624",8805,15985,18078,1250,17473,1393,"Batch1"
"Cell625",9107,14154,22447,1211,17718,1573,"Batch1"
"Cell626",7093,13830,18914,1118,13699,1274,"Batch1"
"Cell627",8148,9905,15502,1273,11432,1134,"Batch1"
"Cell628",6752,10738,13489,1214,14888,1325,"Batch1"
"Cell629",8586,14601,23201,1594,15236,1519,"Batch1"
"Cell630",7253,13936,17393,1099,13597,1549,"Batch1"
"Cell631",7589,12358,20851,1488,15027,1309,"Batch1"
"Cell632",6723,10618,16472,1007,9972,1002,"Batch1"
"Cell633",9482,14874,18590,954,14881,1181,"Batch1"
"Cell634",7319,14623,19494,1115,14799,940,"Batch1"
"Cell635",10450,15783,24599,1369,20017,1521,"Batch1"
"Cell636",9896,16531,28176,1840,15119,1549,"Batch1"
"Cell637",9667,19243,17886,1584,16536,1724,"Batch1"
"Cell638",7918,13469,19331,990,10688,1062,"Batch1"
"Cell639",10370,16380,23167,1518,17831,1471,"Batch1"
"Cell640",8543,18777,23206,1400,16029,1761,"Batch1"
"Cell641",6475,12885,19642,1531,12062,1322,"Batch1"
"Cell642",10165,14159,16562,1383,14108,1481,"Batch1"
"Cell643",9932,18399,27104,1442,18605,1682,"Batch1"
"Cell644",13079,25834,34315,2130,17069,1664,"Batch1"
"Cell645",9351,16268,22757,1689,16321,1742,"Batch1"
"Cell646",12325,23972,29265,2082,18762,1549,"Batch1"
"Cell647",8072,16676,14343,1589,16958,1757,"Batch1"
"Cell648",8547,19075,23616,1389,17433,1355,"Batch1"
"Cell649",10321,15720,25460,1438,18577,1415,"Batch1"
"Cell650",7190,16174,13527,1035,12193,1085,"Batch1"
"Cell651",7286,13078,18046,1276,14937,1593,"Batch1"
"Cell652",6273,10522,12280,958,9582,850,"Batch1"
"Cell653",7754,10931,15003,1045,14000,917,"Batch1"
"Cell654",8577,15836,18015,1571,15496,1103,"Batch1"
"Cell655",7294,12712,18112,1352,15890,1274,"Batch1"
"Cell656",8428,15880,24872,1553,18690,1338,"Batch1"
"Cell657",7859,15589,16888,1511,16528,1511,"Batch1"
"Cell658",6321,13531,20713,1552,13869,1461,"Batch1"
"Cell659",10138,15929,22651,1587,15370,1307,"Batch1"
"Cell660",9229,18039,24440,1800,18761,1689,"Batch1"
"Cell661",7235,11783,14148,863,8925,1211,"Batch1"
"Cell662",10835,21112,29519,2362,21507,1777,"Batch1"
"Cell663",9562,14961,19912,1143,15233,1577,"Batch1"
"Cell664",6697,10929,14100,891,10340,1017,"Batch1"
"Cell665",8622,12854,19517,1699,11706,1493,"Batch1"
"Cell666",9465,19728,21073,1823,16774,1282,"Batch1"
"Cell667",8891,15224,20742,1821,14714,1726,"Batch1"
"Cell668",11242,19244,24380,1753,21407,1601,"Batch1"
"Cell669",8851,13542,16750,1349,17257,1735,"Batch1"
"Cell670",7481,12249,12780,1077,12779,1212,"Batch1"
"Cell671",10833,17600,18270,1305,14597,1250,"Batch1"
"Cell672",6040,7300,13517,690,7324,1006,"Batch1"
"Cell673",6564,10845,15805,1175,13708,1296,"Batch1"
"Cell674",10922,15569,25017,1784,19002,1511,"Batch1"
"Cell675",7063,9792,14791,1244,10847,1149,"Batch1"
"Cell676",9077,12518,18912,1266,13084,1223,"Batch1"
"Cell677",10813,16868,30877,1516,20426,1392,"Batch1"
"Cell678",6184,9902,11030,1090,9305,782,"Batch1"
"Cell679",9184,13757,20209,1378,13855,1351,"Batch1"
"Cell680",7570,13942,18920,1316,13376,1156,"Batch1"
"Cell681",12774,19305,23043,1656,17296,1887,"Batch1"
"Cell682",9680,18041,21000,1567,15432,2120,"Batch1"
"Cell683",8194,13877,19719,1141,13536,1167,"Batch1"
"Cell684",12643,20964,26335,1409,14577,1547,"Batch1"
"Cell685",8378,12887,20699,1355,14917,1337,"Batch1"
"Cell686",8017,14430,16223,1106,11910,1184,"Batch1"
"Cell687",9021,13271,17041,1298,14856,1122,"Batch1"
"Cell688",8958,17958,23747,1612,18176,1588,"Batch1"
"Cell689",8137,11052,15640,902,11627,1268,"Batch1"
"Cell690",9075,16180,22354,1275,14096,1267,"Batch1"
"Cell691",9048,12700,19770,1240,10935,1153,"Batch1"
"Cell692",10009,16492,19100,1452,17707,1317,"Batch1"
"Cell693",6417,14285,20227,1051,13355,909,"Batch1"
"Cell694",6615,10410,18208,931,10837,1219,"Batch1"
"Cell695",6898,13939,19496,1386,12989,1559,"Batch1"
"Cell696",7609,9786,20027,1080,13115,1304,"Batch1"
"Cell697",8466,13231,23963,1662,16250,1408,"Batch1"
"Cell698",8224,15079,25144,1635,20109,1339,"Batch1"
"Cell699",10333,20906,31007,1918,23062,2106,"Batch1"
"Cell700",9964,11268,19666,1412,15422,1474,"Batch1"
"Cell701",11275,13552,18253,1442,15254,1206,"Batch1"
"Cell702",9250,14629,23847,1424,17128,1472,"Batch1"
"Cell703",8796,15176,19881,1821,15278,1346,"Batch1"
"Cell704",7779,17702,20574,1615,15538,1198,"Batch1"
"Cell705",9526,18672,22866,1595,16246,980,"Batch1"
"Cell706",10543,20242,22187,1647,16956,1609,"Batch1"
"Cell707",10991,18326,29986,1856,22073,1975,"Batch1"
"Cell708",10919,15258,20734,1255,12711,1753,"Batch1"
"Cell709",9095,13774,20198,1778,13269,1013,"Batch1"
"Cell710",7019,11169,11857,1294,11541,695,"Batch1"
"Cell711",7834,9348,16324,1136,11138,1234,"Batch1"
"Cell712",11132,16902,25961,1739,20735,1446,"Batch1"
"Cell713",9564,14240,21601,1567,19460,1612,"Batch1"
"Cell714",9956,14057,26308,1564,16948,1107,"Batch1"
"Cell715",13434,25999,30239,1622,19531,1788,"Batch1"
"Cell716",12245,18690,30525,1537,21544,1600,"Batch1"
"Cell717",9143,20235,24998,2112,19724,1745,"Batch1"
"Cell718",8812,18404,23283,1183,14109,1095,"Batch1"
"Cell719",13696,20785,24317,1802,22299,1674,"Batch1"
"Cell720",7806,17919,19025,1416,15823,1680,"Batch1"
"Cell721",6144,13503,23594,1194,12959,1280,"Batch1"
"Cell722",12910,14534,20094,1664,16508,2095,"Batch1"
"Cell723",8066,12084,19428,1078,10904,1308,"Batch1"
"Cell724",7021,11977,18228,1113,12212,1261,"Batch1"
"Cell725",8107,13952,14709,878,14890,1229,"Batch1"
"Cell726",8213,13784,20535,1732,17760,1455,"Batch1"
"Cell727",8558,12513,16770,1519,12738,1246,"Batch1"
"Cell728",7413,15722,15458,1032,12939,967,"Batch1"
"Cell729",8283,14955,18774,1745,14152,1034,"Batch1"
"Cell730",10873,20813,24730,1905,16200,1639,"Batch1"
"Cell731",9454,18280,21979,1467,16568,1367,"Batch1"
"Cell732",5423,12169,13738,1201,10068,682,"Batch1"
"Cell733",10434,16546,25829,1609,15220,1752,"Batch1"
"Cell734",14771,17196,25965,2152,20622,2125,"Batch1"
"Cell735",8939,17088,24527,1650,16279,2031,"Batch1"
"Cell736",9870,17219,22951,1948,18095,1654,"Batch1"
"Cell737",6411,11036,14095,1026,12752,1206,"Batch1"
"Cell738",8510,12970,15443,1178,12120,1281,"Batch1"
"Cell739",11889,21967,24920,1681,16010,1797,"Batch1"
"Cell740",8780,13834,15957,1101,18440,1014,"Batch1"
"Cell741",9381,14538,17490,1346,12536,1314,"Batch1"
"Cell742",5589,10178,13344,716,10763,1012,"Batch1"
"Cell743",6968,11473,17358,1310,11305,999,"Batch1"
"Cell744",9721,17224,21223,1808,15741,1478,"Batch1"
"Cell745",6937,12954,12455,1054,10186,1097,"Batch1"
"Cell746",9465,19628,20957,1649,14554,1676,"Batch1"
"Cell747",8126,14629,13849,1037,13460,1263,"Batch1"
"Cell748",11113,19146,21970,1976,17749,1936,"Batch1"
"Cell749",7376,13750,20460,1485,12599,1554,"Batch1"
"Cell750",8203,17141,20931,1766,13996,1412,"Batch1"
"Cell751",6994,12804,14632,1088,11716,841,"Batch1"
"Cell752",6248,10252,16088,1052,11602,1467,"Batch1"
"Cell753",7498,10209,10750,968,9562,858,"Batch1"
"Cell754",12027,19931,22276,1782,19488,1872,"Batch1"
"Cell755",6907,11287,11137,865,12598,1044,"Batch1"
"Cell756",8588,14548,13929,973,14424,1072,"Batch1"
"Cell757",8997,13006,16388,1251,13109,1065,"Batch1"
"Cell758",13274,16535,28951,2235,19977,1791,"Batch1"
"Cell759",7725,19037,23931,1630,15985,1704,"Batch1"
"Cell760",8067,15202,19040,1604,15943,1107,"Batch1"
"Cell761",8041,11421,15068,1072,13347,1463,"Batch1"
"Cell762",11164,17124,31088,1595,18905,1714,"Batch1"
"Cell763",8354,13150,16397,1250,16038,1604,"Batch1"
"Cell764",9098,13896,24536,1595,15500,1402,"Batch1"
"Cell765",11175,20106,20257,1280,16942,1617,"Batch1"
"Cell766",7138,10893,22366,1075,13198,1456,"Batch1"
"Cell767",8453,14322,18494,1227,13456,1498,"Batch1"
"Cell768",7455,12010,14453,1058,10406,1223,"Batch1"
"Cell769",7824,15762,19780,1262,14682,1346,"Batch1"
"Cell770",9441,13343,20282,1824,17852,1711,"Batch1"
"Cell771",8581,13833,18726,1392,13077,1477,"Batch1"
"Cell772",8356,15370,20264,1217,14057,1234,"Batch1"
"Cell773",11365,15203,20440,1580,14234,1529,"Batch1"
"Cell774",6043,10328,14282,808,10680,1170,"Batch1"
"Cell775",8107,11751,19917,1203,11796,1255,"Batch1"
"Cell776",10453,29006,25930,2021,22057,2153,"Batch1"
"Cell777",7645,10838,15472,1104,12583,1467,"Batch1"
"Cell778",5979,12495,14759,1021,11707,855,"Batch1"
"Cell779",7003,15533,16085,1446,11867,1105,"Batch1"
"Cell780",6597,12579,18747,1085,15942,1188,"Batch1"
"Cell781",9818,15829,19397,2075,17080,1886,"Batch1"
"Cell782",9841,16573,20688,1283,17752,1440,"Batch1"
"Cell783",8974,15764,18464,1248,12128,1211,"Batch1"
"Cell784",8485,14231,20604,1338,14758,1269,"Batch1"
"Cell785",7632,12344,21650,1225,15433,969,"Batch1"
"Cell786",10531,21683,35316,1670,20665,1729,"Batch1"
"Cell787",8046,13155,17528,1263,15283,1608,"Batch1"
"Cell788",10983,21270,23656,2167,20780,2265,"Batch1"
"Cell789",7990,12018,22431,1350,15811,1375,"Batch1"
"Cell790",7119,13124,15037,1311,16828,1842,"Batch1"
"Cell791",9086,19540,23131,1962,18749,1910,"Batch1"
"Cell792",6586,12104,16115,1030,9954,895,"Batch1"
"Cell793",12538,17132,24470,1975,24858,1583,"Batch1"
"Cell794",10108,22181,30379,2271,21960,2243,"Batch1"
"Cell795",7817,13888,13581,1035,11778,1618,"Batch1"
"Cell796",11201,16018,25911,1648,19446,1476,"Batch1"
"Cell797",6714,14627,14372,1060,10416,812,"Batch1"
"Cell798",8202,11833,17361,1145,11202,1264,"Batch1"
"Cell799",10756,15139,19492,1556,19289,1185,"Batch1"
"Cell800",8674,17174,26359,1327,15887,1273,"Batch1"
"Cell801",12431,20371,23271,2064,15825,1710,"Batch1"
"Cell802",9096,10056,22857,1635,14671,1593,"Batch1"
"Cell803",8899,13884,16764,1131,14649,1760,"Batch1"
"Cell804",6895,13440,14827,961,14909,1636,"Batch1"
"Cell805",12417,17679,22871,1548,17449,1414,"Batch1"
"Cell806",7317,15359,16347,1316,15913,1391,"Batch1"
"Cell807",8494,16810,20178,1523,13631,1343,"Batch1"
"Cell808",7475,12829,17174,881,13383,1137,"Batch1"
"Cell809",6944,11170,20704,1066,11228,991,"Batch1"
"Cell810",9094,17275,23693,1840,16971,1419,"Batch1"
"Cell811",8368,13892,19153,1013,14824,1518,"Batch1"
"Cell812",9472,17354,21354,1632,17060,1557,"Batch1"
"Cell813",8938,16604,19489,1492,14596,1664,"Batch1"
"Cell814",11002,15194,22496,1429,15539,1697,"Batch1"
"Cell815",7496,18088,26730,1865,17106,1390,"Batch1"
"Cell816",9086,14571,22711,1331,15134,1521,"Batch1"
"Cell817",5832,10113,13461,1216,13074,928,"Batch1"
"Cell818",7388,14157,17668,1125,16326,1026,"Batch1"
"Cell819",10803,18439,18591,1452,14426,1314,"Batch1"
"Cell820",9192,12943,24487,1425,19023,1468,"Batch1"
"Cell821",8045,15290,26170,1495,14299,1162,"Batch1"
"Cell822",9923,14305,20354,1385,13112,1250,"Batch1"
"Cell823",11221,18082,22446,1833,13102,1511,"Batch1"
"Cell824",7109,11679,13831,1186,12568,1262,"Batch1"
"Cell825",7995,16570,18474,1403,16028,1326,"Batch1"
"Cell826",13382,19386,30220,1887,18031,1518,"Batch1"
"Cell827",8178,17080,19594,1282,14622,1359,"Batch1"
"Cell828",7233,14609,18631,1303,12255,1130,"Batch1"
"Cell829",6190,10619,20226,1370,15100,959,"Batch1"
"Cell830",8795,17197,18417,1472,14117,1382,"Batch1"
"Cell831",7347,12718,20773,1173,12724,1279,"Batch1"
"Cell832",8022,14118,16901,1241,11310,1030,"Batch1"
"Cell833",9052,19431,24845,1744,18689,1493,"Batch1"
"Cell834",5340,8314,11040,917,9849,849,"Batch1"
"Cell835",9343,13345,19161,1485,16464,1414,"Batch1"
"Cell836",7837,10438,13008,1379,11495,1027,"Batch1"
"Cell837",8099,14764,19769,1168,14549,1588,"Batch1"
"Cell838",6787,11764,19168,1251,13084,1136,"Batch1"
"Cell839",8150,16918,18939,1150,12181,1865,"Batch1"
"Cell840",5691,11177,12395,744,8908,963,"Batch1"
"Cell841",7063,12250,20127,1125,13875,1589,"Batch1"
"Cell842",8375,18073,27743,1390,17662,1518,"Batch1"
"Cell843",6603,13233,17616,950,14902,1105,"Batch1"
"Cell844",10140,11980,19520,1632,13582,1163,"Batch1"
"Cell845",7589,12355,16019,1394,14668,1597,"Batch1"
"Cell846",8634,11980,20253,1347,12986,1102,"Batch1"
"Cell847",11829,14423,28928,1688,17890,1677,"Batch1"
"Cell848",8250,15147,22314,1782,14927,1430,"Batch1"
"Cell849",8016,10873,15930,1083,15316,959,"Batch1"
"Cell850",7352,13774,15329,919,11017,1045,"Batch1"
"Cell851",8319,17255,20886,1368,15845,1586,"Batch1"
"Cell852",7203,12063,22566,1331,12781,1498,"Batch1"
"Cell853",11410,17928,26425,1764,17537,1829,"Batch1"
"Cell854",9256,12848,17435,1373,15983,1645,"Batch1"
"Cell855",12928,19908,27076,1688,17754,1927,"Batch1"
"Cell856",14424,17774,27015,2005,20752,1747,"Batch1"
"Cell857",6790,11591,14939,1319,10915,941,"Batch1"
"Cell858",6402,12703,16744,1034,10588,1229,"Batch1"
"Cell859",8261,13967,20391,1172,13511,1200,"Batch1"
"Cell860",8493,15728,15919,1398,12704,1664,"Batch1"
"Cell861",8412,14364,18728,1327,12318,1203,"Batch1"
"Cell862",11723,15547,23381,1727,17466,1210,"Batch1"
"Cell863",7264,11784,16700,1103,11296,1157,"Batch1"
"Cell864",8511,17100,17107,1524,14313,1071,"Batch1"
"Cell865",8089,14157,16077,1261,12899,1530,"Batch1"
"Cell866",8587,14068,20316,1121,14741,1165,"Batch1"
"Cell867",9864,14015,22686,1705,14586,993,"Batch1"
"Cell868",7586,11667,17765,930,12453,984,"Batch1"
